City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Harper,LR,4.375,-7.7169,77.23,88,83,7.05,light rain
317,Atar,MR,20.5169,-13.0499,87.94,12,100,5.68,overcast clouds
318,George Town,MY,5.4112,100.3354,78.75,91,40,3.0,scattered clouds
319,Dungarpur,IN,23.8333,73.7167,71.6,32,2,5.46,clear sky
320,Tupiza,BO,-21.45,-65.7167,49.06,68,100,7.29,overcast clouds
321,Canto Do Buriti,BR,-8.11,-42.9444,81.55,43,96,2.24,overcast clouds
322,Naze,JP,28.3667,129.4833,67.12,90,100,12.55,overcast clouds
323,College,US,64.8569,-147.8028,37.38,57,40,0.0,scattered clouds
324,San Patricio,US,28.017,-97.5169,75.83,65,5,7.45,clear sky
325,Tura,IN,25.5198,90.2201,71.31,99,100,5.86,light rain
326,Chokurdakh,RU,70.6333,147.9167,-9.65,99,87,5.21,overcast clouds
327,Mehamn,NO,71.0357,27.8492,33.49,62,100,21.07,light snow
328,Tessalit,ML,20.1986,1.0114,79.38,14,0,7.78,clear sky
329,Columbus,US,39.9612,-82.9988,57.72,69,1,0.0,clear sky
330,Laguna,US,38.421,-121.4238,66.0,45,1,1.99,clear sky
331,Rocha,UY,-34.4833,-54.3333,46.27,85,0,1.23,clear sky
332,Alta Floresta,BR,-9.8756,-56.0861,70.77,98,100,3.98,overcast clouds
333,Viedma,AR,-40.8135,-62.9967,62.49,23,0,11.36,clear sky
334,Ystad,SE,55.4297,13.8204,48.97,93,100,16.04,overcast clouds
335,San Vicente,AR,-26.6167,-54.1333,58.17,87,0,4.61,light rain
336,Necochea,AR,-38.5473,-58.7368,50.04,78,41,11.54,scattered clouds
337,Eucaliptus,BO,-17.5833,-67.5167,51.55,59,6,11.41,clear sky
338,Pindushi,RU,62.9152,34.58,32.31,87,98,8.88,overcast clouds
339,Uige,AO,-7.6087,15.0613,65.98,95,89,2.37,overcast clouds
340,Dauphin,CA,51.1494,-100.0502,62.74,51,1,11.5,clear sky
341,Aksu,CN,41.1231,80.2644,53.04,23,100,1.88,overcast clouds
342,Kendari,ID,-3.945,122.4989,86.95,64,49,3.11,scattered clouds
